PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
1,Honda,Female,Single,21,Sport - Liability,Sport,"more than 69,000",12,300,1,none,3 years,26 to 30,External,1 year,Liability
2,Honda,Male,Single,34,Sport - Collision,Sport,"more than 69,000",15,400,4,none,6 years,31 to 35,External,no change,Collision
3,Honda,Male,Married,47,Sport - Collision,Sport,"more than 69,000",7,400,3,1,7 years,41 to 50,External,no change,Collision
4,Toyota,Male,Married,65,Sedan - Liability,Sport,"20,000 to 29,000",4,400,2,1,more than 7,51 to 65,External,no change,Liability
5,Honda,Female,Single,27,Sport - Collision,Sport,"more than 69,000",3,400,1,none,5 years,31 to 35,External,no change,Collision
6,Honda,Male,Single,20,Sport - Collision,Sport,"more than 69,000",12,400,3,none,5 years,21 to 25,External,no change,Collision
7,Honda,Male,Married,36,Sport - Collision,Sport,"more than 69,000",14,400,1,1,7 years,36 to 40,External,no change,Collision
8,Honda,Male,Single,16,Sport - Collision,Sport,"more than 69,000",1,400,4,1,new,16 to 17,External,no change,Collision
9,Honda,Male,Single,30,Sport - Collision,Sport,"more than 69,000",7,400,4,none,6 years,31 to 35,External,no change,Collision
10,Ford,Male,Married,42,Utility - All Perils,Utility,"more than 69,000",7,400,1,2 to 4,more than 7,36 to 40,External,no change,All Perils
11,Mazda,Male,Single,71,Sedan - All Perils,Sedan,"more than 69,000",7,400,3,none,more than 7,over 65,External,no change,All Perils
12,Honda,Male,Married,52,Sedan - Liability,Sport,"20,000 to 29,000",13,400,1,2 to 4,more than 7,41 to 50,External,no change,Liability
13,Ford,Male,Married,28,Sedan - Liability,Sport,"more than 69,000",11,400,1,1,7 years,31 to 35,External,no change,Liability
14,Honda,Male,Single,17,Sedan - Collision,Sedan,"more than 69,000",12,400,3,none,new,16 to 17,External,no change,Collision
15,Ford,Male,Married,61,Sedan - Liability,Sport,"more than 69,000",3,400,1,none,more than 7,51 to 65,External,no change,Liability
16,Ford,Male,Single,38,Sedan - Liability,Sport,"more than 69,000",16,400,1,none,6 years,36 to 40,External,no change,Liability
17,Ford,Male,Married,41,Sedan - All Perils,Sedan,"more than 69,000",15,400,4,none,7 years,36 to 40,External,no change,All Perils
18,Chevrolet,Female,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,1,none,7 years,31 to 35,External,no change,Collision
19,Pontiac,Male,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",6,400,1,1,7 years,31 to 35,External,no change,Liability
20,Honda,Male,Married,30,Sedan - Liability,Sport,"more than 69,000",2,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
21,Mazda,Male,Married,40,Sedan - Liability,Sport,"20,000 to 29,000",3,400,1,1,more than 7,36 to 40,External,no change,Liability
22,Chevrolet,Male,Married,47,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,2,1,more than 7,41 to 50,External,4 to 8 years,Collision
23,Mazda,Male,Married,63,Sedan - Liability,Sport,"20,000 to 29,000",8,400,3,1,more than 7,51 to 65,External,no change,Liability
24,Pontiac,Male,Single,31,Sedan - Liability,Sport,"30,000 to 39,000",5,400,3,none,6 years,31 to 35,External,no change,Liability
